name,latitude,longitude,Type of Hospital,Services,Number of Beds
ACMS MEDICAL CLINIC,1.28967,103.85007,profit,"general services, cardiology, obstetrics",4983
ACUMED MEDICAL GROUP,1.28967,103.85007,public,"general services, gastroenterology, neurology, obstetrics, cardiology, radiology, urology",823
ACUMED MEDICAL GROUP,1.347181,103.9380431,profit,"general services, pathology",2808
ACUMED MEDICAL GROUP,1.3471811,103.9380431,private,"general services, cardiology, urology, obstetrics, neurology, radiology",2046
ACUMED MEDICAL GROUP,1.3257123,103.9321346,public,"general services, pathology, radiology, cardiology, obstetrics",2822
ACUMED MEDICAL GROUP,1.28967,103.85007,"profit, public","general services, gastroenterology, pathology, radiology",3853
ACUMED MEDICAL GROUP,1.4378404,103.7821937,public,"general services, urology, obstetrics, pathology, cardiology, gastroenterology, radiology",5648
ACUMED MEDICAL GROUP,1.32114,103.7427649,"non-profit, private","general services, radiology, pathology, neurology, cardiology, urology",2179
ACUMED MEDICAL GROUP,1.3394964,103.705254,private,"general services, neurology, radiology",4455
ACUMED MEDICAL GROUP,1.3896623,103.8927994,"non-profit, profit",general services,231
ACUMED MEDICAL GROUP,1.28967,103.85007,"non-profit, public","general services, urology, gastroenterology",6468
ACUMED MEDICAL GROUP,1.3323546,103.7224647,"private, non-profit","general services, urology, gastroenterology",7708
ADIDAH FAMILY CLINIC & SURGERY,1.3485913,103.9347337,"profit, non-profit","general services, gastroenterology, urology, pathology, obstetrics, cardiology, neurology, radiology",3769
ADMIRALTY FAMILY MEDICAL CLINIC,1.4405121,103.8017118,public,"general services, pathology, neurology, gastroenterology, cardiology, obstetrics",6244
ADVANCE CLINIC & SURGERY PTE LTD,1.3308274,103.9013973,profit,"general services, cardiology, gastroenterology, radiology, urology, neurology",3324
ADVANTAGE MEDICAL CLINIC,1.28967,103.85007,"profit, public","general services, gastroenterology",8820
ADVANTAGE MEDICAL CLINIC(JURONG WEST),1.3498597,103.7252886,non-profit,"general services, cardiology, urology, pathology",3248
AFFINITY MEDICAL CLINIC,1.3546388,103.871799,public,"general services, urology, gastroenterology, radiology, obstetrics, cardiology, neurology",5612
AIA ALEXANDRA CLINIC,1.29389,103.81972,"non-profit, private","general services, obstetrics, cardiology, urology",6679
AIDAN MEDICAL CLINIC,1.3312289,103.9252282,public,"general services, radiology, gastroenterology, cardiology, obstetrics, pathology",7157
ALEXANDRA FAMILY CLINIC & SURGERY,1.2925348,103.8113068,"profit, non-profit","general services, radiology, cardiology, urology",122
ALLHEALTH FAMILY CLINIC,1.3553896,103.9317229,"private, public","general services, obstetrics, cardiology, pathology, gastroenterology, radiology, neurology, urology",7233
ALLIANCE CLINIC AND PARTNERS PTE LTD,1.3325925,103.9075259,"profit, non-profit",general services,1697
ALLSWELL MEDICAL CLINIC,1.3394398,103.7053332,public,general services,4379
ALLY HEALTH,1.3152781,103.7668558,public,"general services, obstetrics, cardiology, pathology, neurology, gastroenterology, radiology, urology",3052
AMDA INTERNATIONAL PEACE CLINIC,1.28967,103.85007,non-profit,"general services, urology, cardiology, gastroenterology, radiology",8006
AMK FAMILY CLINIC,1.3714876,103.8458658,profit,"general services, urology, neurology",6499
AMPM FAMILY CLINIC & SURGERY PTE. LTD.,1.28967,103.85007,profit,"general services, gastroenterology, urology, obstetrics, radiology",1523
AN MEDICAL CLINIC@AMK,1.3724889,103.8474507,"private, profit","general services, obstetrics",4881
ANCHOR HEALTH FAMILY CLINIC,1.28967,103.85007,"private, public","general services, cardiology, pathology, neurology, urology, obstetrics, radiology, gastroenterology",5684
ANG MO KIO FAMILY MEDICINE CLINIC,1.3719352,103.8459597,private,"general services, obstetrics, gastroenterology, urology, neurology",1860
ANG MO KIO MEDICAL CENTRE,1.3700803,103.8495228,"non-profit, profit","general services, radiology, cardiology, gastroenterology, pathology, urology",5144
ANSARI FAMILY CLINIC & SURGERY,1.315935,103.883308,public,"general services, obstetrics, cardiology, pathology",8658
APEX CLINIC & SURGERY,1.422888,103.8523081,non-profit,"general services, obstetrics, urology, neurology, pathology, cardiology",100
APEX CLINIC & SURGERY,1.4298936,103.7746931,"private, profit","general services, pathology",8005
ANG MO KIO MEDICAL CENTRE,1.31587,103.88325,private,"general services, gastroenterology, neurology, radiology, pathology, obstetrics, cardiology, urology",5681
ANSARI FAMILY CLINIC & SURGERY,1.31282,103.88245,"profit, non-profit","general services, radiology, gastroenterology, cardiology, pathology, urology, neurology",1779
ANTEH DISPENSARY PTE LTD,1.422888,103.8523081,public,"general services, gastroenterology, pathology, urology, radiology, cardiology, obstetrics",4978
APEX CLINIC & SURGERY,1.4298936,103.7746931,public,"general services, gastroenterology, radiology, pathology, cardiology, neurology",3999
APEX CLINIC & SURGERY,1.3413875,103.6915386,private,"general services, urology",2617
"APEX MEDICAL CENTRE 
(JURONG) PTE LTD",1.3700803,103.8495228,profit,general services,2529
APPLETREE MEDICAL,1.3190089,103.7784888,public,general services,2807
ARCADIA CLINIC,1.3587508,103.7513848,profit,"general services, urology",4705
AR-RAUDHAH MEDICAL CLINIC AND SURGERY PTE LTD,1.36389,103.8575,"profit, private","general services, cardiology",7970
ASHFORD MEDICAL CENTRE,1.28967,103.85007,"public, non-profit","general services, obstetrics, cardiology, pathology, urology, neurology, radiology",3562
"ASIATIQUE MEDICAL & 
AESTHETICS CLINIC",1.3456864,103.8560258,"profit, public","general services, obstetrics, gastroenterology, cardiology, pathology",7995
ASPEN CLINIC,1.3163942,103.8938648,"profit, non-profit","general services, obstetrics, urology, pathology, radiology, cardiology",2184
ASSURANCE MEDICARE CLINIC AND SURGERY,1.2833675,103.8156713,"non-profit, public","general services, urology, neurology",2615
ASSURE FAMILY CLINIC BUKIT MERAH,1.28967,103.85007,non-profit,"general services, cardiology, obstetrics, pathology, gastroenterology",4275
ATA (ORCHARD) MEDICAL,1.28967,103.85007,non-profit,"general services, obstetrics, urology, pathology, cardiology",5917
ATA MEDICAL,1.4366436,103.8366613,"private, profit","general services, neurology",1865
ATRIO FAMILY CLINIC,1.3735945,103.8549749,"public, profit","general services, cardiology, neurology",2765
ATRIO FAMILY CLINIC (AMK) PTE. LTD.,1.3430609,103.7381428,private,"general services, pathology, neurology, obstetrics, urology, radiology, gastroenterology",3250
B S CHEW CLINIC,1.330951,103.8582302,public,"general services, urology, neurology, obstetrics",3568
B T GOH FAMILY CLINIC & SURGERY,1.324328,103.8518784,"non-profit, private","general services, urology, pathology, radiology, obstetrics",5314
BALESTIER MEDICAL CLINIC,1.3335873,103.9149662,profit,"general services, pathology, urology, cardiology",1006
BALKIS FAMILY CLINIC,1.3504414,103.7181864,"profit, private",general services,1988
BANYAN CLINIC @ JW,1.28967,103.85007,public,"general services, neurology",7377
BANYAN CLINIC PTE LTD.,1.3484654,103.8804001,"public, non-profit","general services, radiology, neurology, urology",1737
BARTLEY CLINIC,1.28967,103.85007,"private, non-profit","general services, radiology, cardiology, neurology, gastroenterology",5843
BCH CLINIC @ PASIR RIS,1.3246238,103.93181,profit,"general services, neurology, gastroenterology, pathology",6067
BEDOK CENTRAL CLINIC,1.3201303,103.9355628,non-profit,general services,7573
"BEDOK CLINIC & 
SURGERY(FAMILY MEDICAL CENTRE)",1.3291889,103.9373558,private,general services,6255
BEDOK LIFE CLINIC,1.3205587,103.9347959,"non-profit, profit","general services, obstetrics, cardiology, pathology, gastroenterology, radiology, neurology",6133
BEDOK MEDICAL CENTRE,1.28967,103.85007,public,"general services, cardiology, radiology, obstetrics, urology, gastroenterology, pathology",1195
BELIEF MEDICAL,1.28967,103.85007,public,"general services, gastroenterology, pathology",8378
BEST MED FAMILY CLINIC AND HOME CARE,1.3710938,103.8476629,"private, profit","general services, radiology, pathology, obstetrics, urology, cardiology, neurology",7533
BETHESDA MEDICAL @ AMK,1.28967,103.85007,"private, non-profit",general services,7501
BETHESDA MEDICAL @ BEACH RD,1.28967,103.85007,"non-profit, private",general services,4572
BETHESDA MEDICAL @ CEREZA,1.28967,103.85007,non-profit,general services,3225
"BETHESDA MEDICAL @ 
GRANTRAL",1.28967,103.85007,public,"general services, gastroenterology, pathology, obstetrics, urology, cardiology, neurology",4789
BETHESDA MEDICAL @ SUNTEC,1.3580869,103.9459777,public,"general services, neurology, pathology",5248
"BETHESDA MEDICAL @ 
TAMPINES",1.33274,103.84713,public,"general services, gastroenterology, cardiology, pathology, obstetrics, neurology",2044
BETHESDA MEDICAL @ TPY,1.4365286,103.8375295,public,"general services, gastroenterology",5315
BETHESDA MEDICAL @ YISHUN,1.3404925,103.787472,profit,"general services, gastroenterology, urology, obstetrics",7470
BINJAI MEDICAL CLINIC,1.3446893,103.8553838,private,"general services, radiology, pathology",8983
BISHAN GRACE CLINIC,1.28967,103.85007,private,general services,305
BL MEDICAL ASSOCIATES,1.3459076,103.7310881,"public, private","general services, pathology, radiology, cardiology, urology, neurology, obstetrics",5609
BLESS MEDICAL CENTRE PTE LTD,1.3313898,103.9087591,"profit, public","general services, gastroenterology",7473
BOK FAMILY CLINIC PTE LTD,1.3142903,103.8710448,"profit, non-profit","general services, neurology, pathology, obstetrics",2544
BOON KENG CLINIC & SURGERY,1.3463888,103.7127002,profit,"general services, urology, radiology, gastroenterology, neurology, cardiology, pathology",1571
BOON LAY CLINIC & SURGERY,1.3440337,103.7312571,profit,"general services, neurology, urology",6838
BOON LAY CORPORATION CLINIC,1.3386676,103.8446057,"private, non-profit","general services, cardiology, urology, gastroenterology, pathology, neurology, obstetrics, radiology",2830
BRADDELL MEDICAL CLINIC,1.33581,103.84804,private,"general services, gastroenterology, radiology, neurology, obstetrics, pathology, urology, cardiology",7343
BRIGHTON MEDICAL CLINIC,1.3625546,103.7521696,private,"general services, radiology, gastroenterology, cardiology, obstetrics, pathology, neurology, urology",2180
BUKIT BATOK FAMILY CLINIC,1.3462442,103.7494054,"profit, non-profit","general services, cardiology, obstetrics, pathology, gastroenterology, urology",518
BUKIT BATOK MEDICAL CLINIC,1.3195248,103.8171678,"profit, public","general services, obstetrics, urology, neurology, cardiology",5962
BUKIT TIMAH CLINIC,1.3403819,103.7728476,private,"general services, obstetrics, gastroenterology, cardiology, neurology, radiology, urology",2422
BUKIT TIMAH NAM SANG CLINIC,1.3088567,103.9119026,public,"general services, gastroenterology, cardiology, radiology",5282
BWELL MEDICAL AND PHYSIO,1.28967,103.85007,"profit, private","general services, pathology",3064
C H TAN MEDICAL CLINIC & DENTAL SURGERY,1.28967,103.85007,public,"general services, obstetrics, pathology, cardiology, radiology, urology, gastroenterology, neurology",2496
C K TAN FAMILY CLINIC & SURGERY PTE LTD,1.28967,103.85007,profit,"general services, urology, pathology, gastroenterology",7120
C3 FAMILY CLINIC @ALJUNIED CRESCENT,1.4021747,103.8919813,non-profit,"general services, radiology",2652
CALROSE MEDICAL FAMILY CLINIC,1.3388217,103.8489919,"profit, non-profit","general services, urology, radiology, obstetrics, neurology, pathology",2123
CAMRY MEDICAL CENTRE,1.4351527,103.7760299,non-profit,general services,666
CANARY MEDICAL CLINIC,1.28967,103.85007,"private, non-profit","general services, obstetrics, cardiology, neurology, gastroenterology, urology, radiology",7584
CANBERRA CARE MEDICAL CLINIC,1.3056405,103.8507725,public,"general services, radiology, gastroenterology, cardiology, pathology, urology",7834
CARE FAMILY CLINIC,1.28967,103.85007,"private, non-profit","general services, radiology",1260
CARE FOR YOU MEDICAL CLINIC,1.3665595,103.8416439,"non-profit, profit","general services, cardiology, neurology, radiology",6388
CAREDOC MEDICAL CLINIC,1.28967,103.85007,"profit, private","general services, gastroenterology, urology, cardiology, obstetrics, pathology, neurology, radiology",356
CARELINK FAMILY CLINIC,1.3205587,103.9347959,"non-profit, private","general services, urology, radiology, neurology",2958
CARELITE MEDICAL CLINIC,1.28967,103.85007,"public, non-profit",general services,2531
CARELITE MEDICAL CLINIC (DOVER MEDICAL CENTRE),1.3748559,103.8502172,"profit, public","general services, neurology, obstetrics, gastroenterology, urology, radiology, cardiology",7262
"CARELITE MEDICAL CLINIC (LEE CLINIC, AMK)",1.310382,103.7680124,private,general services,1950
CAREPLUS CLINIC,1.3499033,103.719221,public,"general services, neurology, gastroenterology, obstetrics, pathology, radiology",3556
CARING FAMILY CLINIC,1.3296994,103.9015932,"profit, public","general services, radiology, gastroenterology",1443
CARITAS CLINIC,1.28967,103.85007,"non-profit, private","general services, pathology, cardiology, gastroenterology, urology",2638
CASHEW MEDICAL & SURGERY,1.28967,103.85007,non-profit,"general services, gastroenterology, radiology, neurology, obstetrics, urology, pathology, cardiology",903
CAVENAGH MEDICAL CLINIC AND HOME CARE,1.3843361,103.743242,non-profit,"general services, gastroenterology, radiology, cardiology, obstetrics, pathology, neurology",2532
CCK FAMILY CLINIC,1.3617875,103.9525028,public,"general services, urology, obstetrics, pathology",8877
CECILIA FAMILY CLINIC & SURGERY,1.28967,103.85007,public,"general services, radiology",5880
CENTRAL [ CLINIC + SURGERY ] MARINE PARADE,1.3843361,103.743242,"private, profit","general services, obstetrics",5784
CENTRAL 24-HR CLINIC ( CHOA CHU KANG ),1.3415355,103.6909282,"private, profit","general services, obstetrics, pathology, gastroenterology, radiology, cardiology, neurology",6033
CENTRAL 24-HR CLINIC (PIONEER NORTH ),1.28967,103.85007,"non-profit, profit",general services,1236
CENTRAL 24-HR CLINIC (BEDOK ),1.3134323,103.7654887,profit,"general services, obstetrics, gastroenterology, neurology, pathology, urology, cardiology",3693
"CENTRAL 24-HR CLINIC 
(CLEMENTI)",1.3679325,103.8970415,"public, private","general services, gastroenterology, radiology",7491
"CENTRAL 24-HR CLINIC 
(HOUGANG)",1.3498597,103.7252886,profit,"general services, cardiology, neurology, radiology, gastroenterology, urology, pathology",5381
"CENTRAL 24HR CLINIC 
(JURONG WEST)",1.4310918,103.773703,public,"general services, pathology, cardiology",4026
"CENTRAL 24-HR CLINIC 
(MARSILING)",1.3705542,103.9573384,"non-profit, private",general services,5637
CENTRAL 24-HR CLINIC (PASIR RIS),1.3523302,103.9534923,private,general services,2545
"CENTRAL 24-HR CLINIC 
(TAMPINES)",1.28967,103.85007,non-profit,"general services, pathology, urology",1649
"CENTRAL 24-HR CLINIC 
(WOODLANDS)",1.4298834,103.8279368,non-profit,"general services, radiology, pathology, obstetrics, neurology, urology, cardiology, gastroenterology",2310
"CENTRAL 24-HR CLINIC 
(YISHUN)",1.2864578,103.8092877,"non-profit, profit","general services, neurology, radiology, urology, obstetrics, gastroenterology, pathology",3774
CENTRAL MEDICAL GROUP PTE LTD,1.3232712,103.9242809,non-profit,"general services, obstetrics",4755
CHAI CHEE CLINIC & SURGERY,1.28967,103.85007,non-profit,general services,6474
CHANG CLINIC,1.3225,103.96139,"private, profit","general services, obstetrics, radiology, urology",2
A1 MEDICAL CLINIC,1.276993,103.8390688,"private, public","general services, pathology, cardiology, radiology, neurology, gastroenterology, urology",966
CHANG CLINIC & SURGERY,1.28967,103.85007,"non-profit, private","general services, pathology, obstetrics, neurology, gastroenterology, cardiology",168
CHANGI CLINIC,1.3133897,103.8604198,private,"general services, pathology, radiology, obstetrics, neurology, cardiology",6293
CHARAZOI MEDICAL CLINIC,1.3496085,103.9460065,"private, profit","general services, obstetrics, neurology, radiology, pathology, cardiology, urology",3495
CHARIS CLINIC & SURGERY,1.3702553,103.8720445,private,general services,2725
CHEN FAMILY CLINIC,1.3674932,103.8559381,non-profit,general services,7524
CHENG CLINIC,1.3115987,103.8548275,non-profit,"general services, neurology, urology, obstetrics",1574
CHEONG FAMILY CLINIC PTE LTD,1.3403819,103.7728476,"non-profit, private","general services, neurology, radiology",8109
CHEONG MEDICAL CLINIC,1.28967,103.85007,"private, profit","general services, radiology, obstetrics",2596
CHIEW CLINIC,1.3289583,103.8863144,public,"general services, obstetrics, neurology, urology, radiology, pathology, gastroenterology, cardiology",4188
CHIN CHOO CLINIC,1.28967,103.85007,private,"general services, cardiology, obstetrics, urology, gastroenterology, radiology, neurology",4807
CHIN MEDICAL CLINIC,1.28967,103.85007,"profit, public",general services,1474
CHINATOWN WELLNESS CLINIC,1.28967,103.85007,"private, public","general services, gastroenterology, urology, cardiology, obstetrics, pathology",4740
CHIRON MEDICAL CLINIC,1.333601,103.849924,"profit, non-profit","general services, gastroenterology, obstetrics, radiology, neurology, cardiology, pathology",1600
CHNG CLINIC AND SURGERY,1.28967,103.85007,profit,"general services, gastroenterology, pathology, cardiology, obstetrics, urology, neurology",133
CHONG'S MEDICAL CENTRE,1.2857711,103.8266235,"non-profit, profit","general services, pathology, gastroenterology, obstetrics, neurology, urology, cardiology, radiology",5003
CHUA & PARTNERS FAMILY CLINIC,1.3679325,103.8970415,private,"general services, cardiology, radiology, obstetrics, gastroenterology, urology, pathology, neurology",783
CHUA CLINIC,1.422888,103.8523081,"public, non-profit","general services, obstetrics, pathology, radiology, cardiology",1855
CHUA CLINIC & SURGERY,1.3435653,103.9535721,"public, private",general services,3724
CHUA MEDICAL CENTRE PTE LTD,1.3489141,103.751814,"public, private","general services, radiology, cardiology, urology, neurology, gastroenterology, obstetrics, pathology",4839
CHUA MEDICAL CLINIC AND SURGERY PTE. LTD.,1.3728325,103.8556851,public,"general services, gastroenterology, obstetrics, radiology, urology, pathology",2779
CHUA MEDICO CLINIC LLP,1.3204866,103.8860381,"private, non-profit",general services,5650
CHUAH CLINIC & SURGERY PTE LTD,1.2776292,103.8197941,"public, non-profit","general services, cardiology, gastroenterology, radiology, pathology",8956
CHUNG & EE MEDICAL CLINIC,1.34028,103.77583,private,"general services, cardiology, neurology, gastroenterology, obstetrics, pathology",6925
CHUNGKIAW CLINIC PTE LTD,1.3291285,103.938031,non-profit,"general services, obstetrics, cardiology, neurology, urology, pathology, gastroenterology",263
CITYGP FAMILY CLINIC,1.36278,103.8975,"public, private","general services, obstetrics, radiology, neurology, cardiology, gastroenterology, urology",6197
CLAREMONT MEDICAL CLINIC,1.3084683,103.7624862,"private, non-profit","general services, neurology, obstetrics, gastroenterology, radiology, cardiology, urology",5482
CLAREMONT MEDICAL CLINIC,1.3551116,103.9315802,private,"general services, neurology, radiology, pathology, urology, obstetrics, gastroenterology, cardiology",5211
ALLHEALTH FAMILY CLINIC,1.3325925,103.9075259,private,"general services, obstetrics, neurology, urology, pathology, cardiology, radiology",2143
"ALLIANCE CLINIC AND 
PARTNERS PTE LTD",1.3684773,103.8445304,"public, private","general services, urology, pathology, cardiology, gastroenterology, obstetrics, neurology, radiology",3356
CLARION MEDICAL,1.3140358,103.7635088,"private, non-profit","general services, cardiology, neurology, radiology, gastroenterology, pathology",1806
"CLEMENTI FAMILY & 
AESTHETIC CLINIC",1.28967,103.85007,profit,"general services, gastroenterology, urology, obstetrics, cardiology, pathology, radiology, neurology",8097
CLIFFORD DISPENSARY PTE LTD,1.28967,103.85007,"profit, non-profit","general services, pathology",8879
CLIFFORD DISPENSARY PTE LTD,1.29156,103.86395,"private, non-profit","general services, radiology, urology, neurology",5974
CLINIC @ THE SAIL,1.378071,103.9375403,non-profit,"general services, radiology, obstetrics, neurology, gastroenterology, pathology",7962
CLINIC 10,1.28967,103.85007,non-profit,"general services, urology, cardiology, pathology, gastroenterology, radiology",2824
CLINIC@COSTA,1.3799178,103.7527519,private,"general services, neurology, cardiology",2705
CLINICAL ASSOCIATES MEDICAL CENTRE,1.3968091,103.7467917,"public, private","general services, cardiology",5229
CLOVER MEDICAL CLINIC PTE LTD,1.358218,103.8710103,"public, profit","general services, urology, obstetrics",3421
COMFORT CLINIC & SURGERY,1.3950661,103.9004703,public,"general services, cardiology, gastroenterology, radiology, obstetrics, pathology, urology",5884
COMPASSVALE 297A MEDICAL CLINIC,1.28967,103.85007,non-profit,"general services, neurology, obstetrics, pathology, radiology",8253
CRAWFURD MEDICAL,1.321298,103.9026209,"non-profit, profit","general services, cardiology, pathology, radiology, neurology",1303
CRESCENT CLINIC & SURGERY,1.442667,103.7866476,public,"general services, cardiology, urology, obstetrics, radiology",3631
CREST FAMILY CLINIC PTE. LTD.,1.28967,103.85007,"profit, public","general services, neurology, cardiology, radiology, obstetrics",7601
CROSS STREET MEDICAL CLINIC,1.3625972,103.9378943,profit,"general services, radiology, neurology, cardiology",5141
CROSSROADS FAMILY CLINIC,1.393146,103.8870307,"public, non-profit","general services, gastroenterology, neurology, pathology, obstetrics, cardiology, radiology",1040
DA CLINIC @ ANCHORVALE,1.3725978,103.8540144,non-profit,"general services, obstetrics, urology",2750
DA CLINIC @ ANG MO KIO,1.348447,103.849103,non-profit,"general services, radiology, cardiology, urology, obstetrics, gastroenterology",6251
DA CLINIC @ BISHAN,1.3529769,103.7437581,"public, non-profit","general services, neurology, gastroenterology, obstetrics, pathology",4707
DA CLINIC @ BUKIT BATOK,1.28967,103.85007,private,"general services, urology, gastroenterology, obstetrics, neurology, radiology, cardiology",5042
DA CLINIC @ POTONG PASIR,1.28967,103.85007,non-profit,"general services, radiology, urology, pathology, neurology, cardiology, obstetrics",2187
DA CLINIC @ SIMEI,1.28967,103.85007,profit,"general services, obstetrics, pathology, radiology, gastroenterology, urology",4667
DA CLINIC @ TAMAN JURONG,1.4329149,103.8406947,public,"general services, radiology",455
DA CLINIC @ YISHUN,1.4366436,103.8366613,"non-profit, private","general services, urology, pathology, obstetrics, gastroenterology, neurology, cardiology, radiology",8923
ATRIO FAMILY CLINIC,1.3756005,103.8865229,"private, public","general services, neurology, cardiology, gastroenterology",7042
DAILY MEDICAL CENTRE,1.3523775,103.9438195,"public, private","general services, urology, obstetrics, cardiology, gastroenterology, radiology, neurology, pathology",5232
DAYSPRING MEDICAL CLINIC (TAMPINES),1.28967,103.85007,"non-profit, private","general services, pathology, neurology, obstetrics, radiology, gastroenterology, cardiology",6036
DISTINCT CLINIC BUKIT BATOK BRANCH,1.3423585,103.7395536,non-profit,general services,3247
DISTINCT CLINIC JURONG EAST BRANCH,1.28967,103.85007,private,"general services, radiology, cardiology, gastroenterology, neurology",7242
"DISTINCT CLINIC TANAH 
MERAH BRANCH",1.4303367,103.7742618,public,"general services, urology, pathology",8998
DOCTORS CLINIC & SURGERY,1.28967,103.85007,profit,"general services, urology",3267
DOCTORS FOR LIFE MEDICAL,1.333601,103.849924,"profit, non-profit","general services, gastroenterology, pathology, urology, obstetrics, radiology",8341
DOCTORS INC MEDICAL GROUP,1.3270611,103.7206635,non-profit,"general services, urology, gastroenterology, obstetrics, pathology, radiology, neurology",8890
"DOCTORS KOO, LOH & 
ASSOCIATES (PTE) LTD",1.3140373,103.7713118,"public, non-profit","general services, obstetrics, gastroenterology, neurology, radiology, cardiology",5125
DOCTORS MEDICAL CLINIC,1.2857711,103.8266235,profit,"general services, neurology",8811
DR CARE MEDICAL CLINIC,1.28967,103.85007,public,"general services, urology, obstetrics",812
DR CHEN AND PARTNERS MEDICAL CLINIC,1.3416979,103.6971606,public,"general services, pathology, obstetrics",6939
DR CHUA'S FAMILY CLINIC PTE. LTD.,1.28967,103.85007,non-profit,"general services, radiology, obstetrics, gastroenterology, urology, pathology",3439
DR GARY'S FAMILY CLINIC,1.4020306,103.8929335,"public, private","general services, cardiology, radiology",3865
DR JOYCE & PARTNERS FAMILY CLINIC,1.333601,103.849924,"non-profit, private","general services, gastroenterology, neurology, pathology, radiology, urology, obstetrics",8047
DR JOYCE & PARTNERS FAMILY CLINIC (TOA PAYOH BRANCH),1.28967,103.85007,"non-profit, public","general services, urology, radiology, pathology, obstetrics, cardiology, gastroenterology, neurology",571
DR KEVIN CHUA MEDICAL & AESTHETICS,1.31697,103.8438,private,"general services, neurology, obstetrics, urology",3497
"DR LIM LEAN HUAT & 
ASSOCIATES PTE LTD",1.28967,103.85007,non-profit,"general services, pathology, urology",5300
DR NAH & LEE FAMILY CLINIC,1.3577865,103.8332545,"public, non-profit","general services, gastroenterology, pathology, radiology, neurology, cardiology, obstetrics, urology",1992
DR PANDA MEDICAL CENTRE,1.349652,103.7518638,"profit, private","general services, gastroenterology, neurology, cardiology, pathology",4287
DR STANLEY PECK FAMILY CLINIC,1.28967,103.85007,"non-profit, public","general services, neurology, urology, gastroenterology",5832
DR W.K. KOO & ASSOCIATES P.L.,1.3446074,103.7336914,"public, non-profit","general services, radiology, gastroenterology, pathology, neurology, urology, cardiology",1010
DR.DEEPAN'S MEDICAL CLINIC,1.4365286,103.8375295,"profit, non-profit","general services, urology, gastroenterology, obstetrics",5209
BETHESDA MEDICAL @ YISHUN,1.2877108,103.804479,public,general services,5166
DR+ MEDICAL & PAINCARE ALEXANDRA,1.347227,103.8510798,public,"general services, radiology, cardiology, urology, gastroenterology, obstetrics",8892
DR+ MEDICAL & PAINCARE BISHAN,1.3088567,103.9119026,profit,"general services, cardiology, urology, neurology",1879
DR+ MEDICAL & PAINCARE EAST COAST,1.28967,103.85007,"profit, private","general services, cardiology, pathology, radiology, obstetrics, urology, neurology",8473
DR+ MEDICAL & PAINCARE HOUGANG,1.4434205,103.7778747,"public, profit","general services, obstetrics, pathology, neurology, cardiology, urology, radiology, gastroenterology",911
DR+ MEDICAL & PAINCARE MARSILING,1.3521194,103.9365383,private,"general services, radiology, gastroenterology",2121
DR+ MEDICAL & PAINCARE TAMPINES,1.28967,103.85007,profit,"general services, obstetrics, pathology, urology, neurology, radiology, gastroenterology",2014
